coverage;latitude;longitude;timeline;blue;evi;ndvi;red;nir
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-03-21T00:00:00;240.0;6436.0;8331.0;376.0;4132.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-04-06T00:00:00;133.0;5398.0;8609.0;237.0;3173.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-04-22T00:00:00;171.0;4899.0;8407.0;240.0;2774.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-05-08T00:00:00;159.0;4511.0;7565.0;415.0;2994.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-05-24T00:00:00;173.0;4698.0;7825.0;361.0;2960.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-06-09T00:00:00;251.0;4660.0;7686.0;369.0;2821.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-06-25T00:00:00;195.0;3250.0;5798.0;744.0;2798.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-07-11T00:00:00;307.0;4552.0;7365.0;425.0;2801.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-07-27T00:00:00;255.0;4044.0;6781.0;545.0;2842.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-08-12T00:00:00;169.0;4366.0;7308.0;468.0;3009.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-08-28T00:00:00;257.0;4346.0;6598.0;706.0;3445.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-09-13T00:00:00;135.0;5635.0;8368.0;318.0;3581.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-09-29T00:00:00;384.0;5522.0;6911.0;810.0;4436.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-10-15T00:00:00;224.0;6137.0;8298.0;362.0;3894.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-10-31T00:00:00;222.0;6584.0;8148.0;473.0;4637.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-11-16T00:00:00;654.0;6860.0;7779.0;605.0;4845.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-12-02T00:00:00;419.0;6094.0;8272.0;302.0;3194.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2016-12-18T00:00:00;1643.0;3836.0;4119.0;1746.0;4192.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-01-01T00:00:00;256.0;6994.0;8378.0;412.0;4671.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-01-17T00:00:00;171.0;5255.0;8852.0;171.0;2810.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-02-02T00:00:00;201.0;4835.0;7868.0;357.0;2993.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-02-18T00:00:00;2147.0;3891.0;4634.0;1357.0;3701.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-03-06T00:00:00;364.0;7304.0;8561.0;333.0;4296.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-03-22T00:00:00;234.0;6602.0;8486.0;340.0;4153.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-04-07T00:00:00;161.0;5965.0;8704.0;245.0;3538.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-04-23T00:00:00;139.0;5358.0;8448.0;272.0;3235.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-05-09T00:00:00;177.0;6017.0;8316.0;359.0;3905.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-05-25T00:00:00;124.0;5387.0;8383.0;295.0;3354.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-06-10T00:00:00;209.0;5179.0;8099.0;329.0;3134.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-06-26T00:00:00;199.0;5185.0;8218.0;301.0;3079.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-07-12T00:00:00;218.0;5142.0;8004.0;349.0;3148.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-07-28T00:00:00;209.0;3930.0;6731.0;559.0;2862.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-08-13T00:00:00;208.0;5314.0;7948.0;389.0;3403.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-08-29T00:00:00;223.0;4349.0;7030.0;538.0;3085.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-09-14T00:00:00;278.0;3548.0;6197.0;623.0;2654.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-09-30T00:00:00;205.0;5213.0;8031.0;353.0;3234.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-10-16T00:00:00;191.0;5767.0;8600.0;252.0;3350.0
MOD13Q1-1;-10.004346155906891;-55.966049117867556;2017-11-01T00:00:00;165.0;5856.0;8415.0;316.0;3673.0
